camNum	frameNum	sysClock	buffer
0	1	1991184303	1
1	1	1991184325	1
0	2	9	1
1	2	33	1
0	3	43	1
1	3	65	1
0	4	76	1
1	4	98	1
0	5	109	1
1	5	131	1
0	6	142	1
1	6	164	1
0	7	176	1
1	7	198	1
0	8	209	1
1	8	231	1
0	9	242	1
1	9	264	1
0	10	276	1
1	10	298	1
0	11	309	1
1	11	331	1
0	12	343	1
1	12	365	1
0	13	376	1
1	13	398	1
0	14	409	1
1	14	431	1
0	15	443	1
1	15	465	1
0	16	476	1
1	16	498	1
0	17	509	1
1	17	531	1
0	18	543	1
1	18	565	1
0	19	576	1
1	19	598	1
0	20	610	1
1	20	631	1
0	21	643	1
1	21	665	1
0	22	676	1
1	22	698	1
0	23	710	1
1	23	731	1
0	24	743	1
1	24	765	1
0	25	777	1
1	25	798	1
0	26	810	1
1	26	831	1
0	27	843	1
1	27	865	1
0	28	876	1
1	28	898	1
0	29	910	1
1	29	931	1
0	30	943	1
1	30	965	1
0	31	976	1
1	31	999	1
0	32	1010	1
1	32	1032	1
0	33	1044	1
1	33	1065	1
0	34	1076	1
1	34	1098	1
0	35	1110	1
1	35	1132	1
0	36	1144	1
1	36	1165	1
0	37	1177	1
1	37	1198	1
0	38	1210	1
1	38	1232	1
0	39	1248	1
1	39	1265	1
0	40	1277	1
1	40	1298	1
0	41	1310	1
1	41	1332	1
0	42	1343	1
1	42	1365	1
0	43	1377	1
1	43	1398	1
0	44	1410	1
1	44	1432	1
0	45	1443	1
1	45	1466	1
0	46	1477	1
1	46	1498	1
0	47	1511	1
1	47	1532	1
0	48	1544	1
1	48	1565	1
0	49	1577	1
1	49	1598	1
0	50	1611	1
1	50	1632	1
0	51	1644	1
1	51	1665	1
0	52	1677	1
1	52	1698	1
0	53	1711	1
1	53	1732	1
0	54	1744	1
1	54	1765	1
0	55	1777	1
1	55	1799	1
0	56	1810	1
1	56	1832	1
0	57	1844	1
1	57	1866	1
0	58	1877	1
1	58	1899	1
0	59	1910	1
1	59	1932	1
0	60	1944	1
1	60	1965	1
0	61	1978	1
1	61	1999	1
0	62	2011	1
1	62	2032	1
0	63	2044	1
1	63	2065	1
0	64	2078	1
1	64	2099	1
0	65	2111	1
1	65	2132	1
0	66	2144	1
1	66	2165	1
0	67	2178	1
1	67	2199	1
0	68	2211	1
1	68	2232	1
0	69	2244	1
1	69	2265	1
0	70	2278	1
1	70	2299	1
0	71	2311	1
1	71	2332	1
0	72	2345	1
1	72	2366	1
0	73	2378	1
1	73	2399	1
0	74	2411	1
1	74	2432	1
0	75	2445	1
1	75	2466	1
0	76	2478	1
1	76	2499	1
0	77	2511	1
1	77	2532	1
0	78	2545	1
1	78	2566	1
0	79	2578	1
1	79	2599	1
0	80	2611	1
1	80	2632	1
0	81	2645	1
1	81	2666	1
0	82	2678	1
1	82	2699	1
0	83	2712	1
1	83	2732	1
0	84	2745	1
1	84	2766	1
0	85	2778	1
1	85	2799	1
0	86	2812	1
1	86	2832	1
0	87	2845	1
1	87	2867	1
0	88	2878	1
1	88	2900	1
0	89	2912	1
1	89	2932	1
0	90	2945	1
1	90	2966	1
0	91	2979	1
1	91	2999	1
0	92	3012	1
1	92	3033	1
0	93	3045	1
1	93	3066	1
0	94	3078	1
1	94	3099	1
0	95	3112	1
1	95	3133	1
0	96	3145	1
1	96	3166	1
0	97	3179	1
1	97	3199	1
0	98	3212	1
1	98	3233	1
0	99	3246	1
1	99	3266	1
0	100	3279	1
1	100	3299	1
0	101	3312	1
1	101	3333	1
0	102	3346	1
1	102	3366	1
0	103	3379	1
1	103	3399	1
0	104	3412	1
1	104	3433	1
0	105	3446	1
1	105	3466	1
0	106	3479	1
1	106	3499	1
0	107	3512	1
1	107	3533	1
0	108	3546	1
1	108	3566	1
0	109	3579	1
1	109	3600	1
0	110	3612	1
1	110	3633	1
0	111	3646	1
1	111	3666	1
0	112	3679	1
1	112	3700	1
0	113	3713	1
1	113	3733	1
0	114	3746	1
1	114	3766	1
0	115	3779	1
1	115	3800	1
0	116	3813	1
1	116	3833	1
0	117	3846	1
1	117	3866	1
0	118	3880	1
1	118	3900	1
0	119	3913	1
1	119	3933	1
0	120	3946	1
